                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8564,                0.47518,                 0.9333,                      1,                0.98423,                 0.9948,                0.78103,                0.87143,                0.45315,                 0.9316,              0.0013268,              0.0013268,              0.0013268
                     36,                0.86593,                 0.4873,                0.94045,                0.98927,                   0.98,                0.99454,                0.77407,                0.84655,                0.44333,                0.92928,               0.001307,               0.001307,               0.001307
                     37,                  0.858,                0.48599,                0.94204,                0.98313,                0.99333,                0.99474,                0.76851,                0.87453,                0.44318,                0.94675,              0.0012872,              0.0012872,              0.0012872
                     38,                0.86709,                0.49009,                0.93522,                0.96604,                0.98667,                0.99387,                0.76525,                 0.8295,                0.44161,                0.93483,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.8597,                0.47857,                0.95177,                0.99333,                0.99273,                0.99493,                0.76912,                0.85959,                0.44343,                0.94202,              0.0012476,              0.0012476,              0.0012476
                     40,                0.84827,                0.47089,                0.93362,                0.99215,                0.99333,                0.99493,                0.77451,                0.83275,                0.42481,                0.93608,              0.0012278,              0.0012278,              0.0012278
                     41,                0.83852,                0.46748,                0.93249,                0.99228,                0.99333,                0.99493,                0.75364,                0.92025,                0.45214,                0.95148,               0.001208,               0.001208,               0.001208
                     42,                0.84433,                0.45903,                0.93074,                0.99501,                0.98667,                0.99487,                0.76517,                  0.875,                0.43477,                0.94254,              0.0011882,              0.0011882,              0.0011882
                     43,                0.82925,                0.46942,                0.93657,                0.99886,                0.99333,                  0.995,                0.79836,                0.80647,                 0.4123,                0.92458,              0.0011684,              0.0011684,              0.0011684
                     44,                0.83806,                0.46442,                0.93389,                0.99427,                0.98667,                0.99493,                0.77366,                0.87053,                0.41496,                0.94166,              0.0011486,              0.0011486,              0.0011486
                     45,                0.81722,                0.46415,                0.93248,                0.99279,                0.99333,                  0.995,                0.76895,                0.87515,                0.42934,                0.93093,              0.0011288,              0.0011288,              0.0011288
                     46,                0.81506,                0.46354,                0.92771,                      1,                0.99272,                  0.995,                0.76224,                0.86177,                0.44484,                 0.9377,               0.001109,               0.001109,               0.001109
                     47,                0.81842,                0.45726,                0.92919,                0.99268,                   0.98,                0.99467,                0.77429,                0.86975,                0.46177,                0.94319,              0.0010892,              0.0010892,              0.0010892
                     48,                0.79114,                0.44684,                0.92288,                0.99741,                0.99333,                  0.995,                0.77856,                0.85365,                0.40882,                0.93767,              0.0010694,              0.0010694,              0.0010694
                     49,                0.82616,                0.45513,                0.93333,                0.98817,                0.98667,                0.99474,                0.73907,                0.96478,                0.45495,                0.98424,              0.0010496,              0.0010496,              0.0010496
                     50,                0.79955,                0.44361,                 0.9207,                0.99579,                0.99333,                  0.995,                0.79266,                0.79937,                0.40068,                0.93139,              0.0010298,              0.0010298,              0.0010298
                     51,                0.82536,                0.44453,                0.92435,                0.99652,                0.99333,                  0.995,                0.77306,                0.91448,                0.44824,                0.95718,                0.00101,                0.00101,                0.00101
                     52,                0.80511,                0.42805,                0.92678,                0.99291,                0.99333,                0.99493,                0.79077,                0.85748,                0.40557,                0.92799,              0.0009902,              0.0009902,              0.0009902
                     53,                0.80382,                 0.4458,                0.91018,                0.99285,                0.99333,                  0.995,                0.78039,                0.86386,                 0.4116,                0.93362,              0.0009704,              0.0009704,              0.0009704
                     54,                0.81001,                0.43911,                0.92714,                0.99841,                0.99333,                  0.995,                 0.7801,                0.86825,                0.40785,                0.94116,              0.0009506,              0.0009506,              0.0009506
                     55,                0.77153,                0.42356,                0.91342,                0.99947,                0.98667,                0.99487,                0.78852,                 0.8443,                0.41028,                0.93129,              0.0009308,              0.0009308,              0.0009308
                     56,                0.78317,                0.43604,                0.91423,                0.99664,                   0.98,                0.99401,                0.78324,                0.84196,                0.42558,                0.93288,               0.000911,               0.000911,               0.000911
                     57,                0.77385,                0.41486,                0.91336,                 0.9932,                0.99333,                0.99487,                0.77593,                0.84928,                0.42972,                0.93121,              0.0008912,              0.0008912,              0.0008912
                     58,                0.77138,                0.41803,                0.90508,                0.99112,                0.99333,                0.99487,                0.76922,                0.86662,                0.41388,                0.92406,              0.0008714,              0.0008714,              0.0008714
                     59,                0.75661,                0.40739,                0.90128,                0.99694,                0.99333,                  0.995,                0.78133,                0.85388,                0.39023,                0.91198,              0.0008516,              0.0008516,              0.0008516
                     60,                0.75814,                0.41449,                0.90823,                0.99326,                0.99333,                  0.995,                0.79459,                0.81962,                0.38579,                0.91412,              0.0008318,              0.0008318,              0.0008318
                     61,                0.75859,                0.40778,                0.90142,                0.99406,                0.98667,                0.99487,                 0.7803,                 0.8968,                 0.4039,                0.93447,               0.000812,               0.000812,               0.000812
                     62,                 0.7868,                0.42184,                0.91295,                0.99304,                0.99333,                0.99487,                0.76662,                0.91596,                0.41838,                0.93423,              0.0007922,              0.0007922,              0.0007922
                     63,                0.74958,                0.41669,                 0.9065,                0.98672,                0.99091,                0.99474,                0.77976,                0.84717,                0.40779,                0.92241,              0.0007724,              0.0007724,              0.0007724
                     64,                0.74506,                0.40313,                0.90351,                0.99925,                0.98667,                0.99487,                0.77838,                0.86223,                0.39672,                0.91784,              0.0007526,              0.0007526,              0.0007526
                     65,                0.72796,                0.39443,                0.89289,                 0.9991,                0.99333,                  0.995,                 0.7666,                0.85779,                 0.3893,                0.91531,              0.0007328,              0.0007328,              0.0007328
                     66,                0.74879,                0.40382,                0.90034,                0.99333,                0.99273,                0.99493,                0.76949,                0.88441,                0.40358,                0.93098,               0.000713,               0.000713,               0.000713
                     67,                 0.7072,                0.39491,                0.89344,                0.99254,                0.99333,                  0.995,                0.77918,                0.86521,                0.38249,                0.92693,              0.0006932,              0.0006932,              0.0006932
